utterance_id,subject,azimuth1,azimuth2,elevation1,elevation2,elevation_index1,elevation_index2
01to030v_0.76421_20ga010m_-0.76421.wav,subject158,40,45,208,-39,45,1
40ec020o_1.3218_20ca010n_-1.3218.wav,subject40,45,65,73,135,21,32
20lo010m_0.13154_01mc020p_-0.13154.wav,subject155,0,-40,0,51,8,17
02bc0206_1.1297_01ta0107_-1.1297.wav,subject03,15,0,203,73,44,21
01ea010c_0.67547_20la010h_-0.67547.wav,subject147,25,55,186,191,41,42
20ba010t_0.66115_025o0304_-0.66115.wav,subject155,-10,-55,152,34,35,14
40oo030x_1.0228_016a010p_-1.0228.wav,subject12,65,80,225,-28,48,3
408c021e_1.5868_406a010d_-1.5868.wav,subject165,-40,30,6,39,9,15
40fc0201_1.9564_017o030p_-1.9564.wav,subject158,-65,-30,129,124,31,30
01go0313_0.87834_40lc020q_-0.87834.wav,subject158,25,30,208,186,45,41
20qc010k_2.3831_20ic010b_-2.3831.wav,subject12,-40,40,39,0,15,8
407a010o_0.11303_401a010j_-0.11303.wav,subject165,-30,-40,203,219,44,47
20na0103_1.8044_01sa0102_-1.8044.wav,subject165,0,15,68,174,20,39
406a0110_0.10508_40po030t_-0.10508.wav,subject40,65,40,186,141,41,33
40fo030a_1.9655_40ka0114_-1.9655.wav,subject165,0,-45,169,68,38,20
013o0310_1.4554_20qc010e_-1.4554.wav,subject12,-45,-55,-6,129,7,31
016o030s_1.2538_01io0310_-1.2538.wav,subject155,-55,15,152,-28,35,3
40gc020m_0.50294_20ua010z_-0.50294.wav,subject40,-15,20,231,107,49,27
40cc0205_1.9427_01ga0107_-1.9427.wav,subject03,30,-40,-17,180,5,40
406o0310_2.1274_209o010o_-2.1274.wav,subject126,20,-80,34,141,14,33
40eo030g_0.54807_017c0210_-0.54807.wav,subject40,55,-65,169,186,38,41
024c0202_0.077249_022a010v_-0.077249.wav,subject12,55,-30,-6,174,7,39
01jc020b_1.8244_016o0313_-1.8244.wav,subject12,-15,30,73,214,21,46
40ic020x_1.3084_20oo0106_-1.3084.wav,subject155,-20,35,-6,124,7,30
20na010y_0.39839_029a010l_-0.39839.wav,subject165,-30,55,169,-23,38,4
01ao0312_1.6447_20ao0102_-1.6447.wav,subject12,10,-30,118,180,29,40
204o0109_0.45414_01ra0111_-0.45414.wav,subject03,15,-15,169,-28,38,3
20bo0106_0.84018_01wo030z_-0.84018.wav,subject165,-10,-35,-11,96,6,25
01lo030u_2.1317_209a010u_-2.1317.wav,subject17,0,-45,-11,208,6,45
01ko030v_2.0083_019a0105_-2.0083.wav,subject158,-10,15,56,180,18,40
01da010w_2.4789_20ja010v_-2.4789.wav,subject17,25,55,124,23,30,12
20rc0108_1.7956_027o030p_-1.7956.wav,subject155,65,30,23,-6,12,7
40hc020g_1.9303_40oa010i_-1.9303.wav,subject03,-55,-25,56,6,18,9
20ga010c_2.333_40oo030b_-2.333.wav,subject12,-30,-45,45,62,16,19
029c020t_0.79885_01bo0312_-0.79885.wav,subject40,-30,-15,73,-17,21,5
20mc010h_2.2427_20ho0102_-2.2427.wav,subject147,25,10,-39,118,1,29
20qa0112_1.9703_013c020h_-1.9703.wav,subject165,-40,30,6,141,9,33
20gc010k_1.0331_01oo0318_-1.0331.wav,subject126,25,45,197,214,43,46
01oo0318_2.2401_01rc020s_-2.2401.wav,subject40,-55,40,-11,-45,6,0
20ma010a_2.2252_404a0113_-2.2252.wav,subject40,15,0,225,6,48,9
20cc0102_0.31443_01dc020b_-0.31443.wav,subject17,-30,10,51,0,17,8
02ac020d_0.7149_01wo030s_-0.7149.wav,subject12,15,-30,169,174,38,39
028a010i_1.9025_208a010p_-1.9025.wav,subject12,55,25,90,96,24,25
01so030j_1.0471_40jo031f_-1.0471.wav,subject165,-35,10,11,6,10,9
016o031f_1.4357_20ha010p_-1.4357.wav,subject158,25,10,0,79,8,22
40ao030w_2.4697_20vc010a_-2.4697.wav,subject155,80,30,174,107,39,27
20hc010m_1.6384_40ka010d_-1.6384.wav,subject12,5,-30,186,158,41,36
02ec0213_0.78627_20oa0113_-0.78627.wav,subject40,30,-55,-28,39,3,15
02ac020z_0.39811_40nc020r_-0.39811.wav,subject03,35,80,-17,-34,5,2
012a0108_2.4679_023o0316_-2.4679.wav,subject155,30,-10,0,129,8,31
01to030t_1.0846_019a010z_-1.0846.wav,subject03,25,-35,28,208,13,45
01vo0301_0.87121_018o030i_-0.87121.wav,subject17,65,20,45,-6,16,7
028o030d_2.3669_20pc010l_-2.3669.wav,subject40,5,10,158,203,36,44
408o030o_2.0366_20qc0106_-2.0366.wav,subject17,-45,45,62,23,19,12
01jc020c_0.5982_024c020t_-0.5982.wav,subject03,25,40,17,169,11,38
20kc010n_0.11278_40fa010q_-0.11278.wav,subject40,15,20,79,124,22,30
016c020h_0.81394_40ma0101_-0.81394.wav,subject12,10,30,-45,-23,0,4
20io010i_0.88003_01qa010t_-0.88003.wav,subject03,-45,25,11,180,10,40
20ea0101_1.7086_01fo0315_-1.7086.wav,subject147,40,20,152,174,35,39
403o030r_1.8807_20ca010b_-1.8807.wav,subject158,35,10,214,34,46,14
20ha0113_1.9943_017o030u_-1.9943.wav,subject03,-20,55,17,225,11,48
01bo030q_0.11999_01ca010t_-0.11999.wav,subject03,55,5,124,28,30,13
20pa0102_2.0213_20ia010h_-2.0213.wav,subject158,35,55,152,28,35,13
405c020p_1.5985_01fo0314_-1.5985.wav,subject147,10,-5,56,107,18,27
403c0210_1.5385_40hc0214_-1.5385.wav,subject40,55,0,0,90,8,24
01pc020h_1.7597_029o030f_-1.7597.wav,subject165,10,0,34,-6,14,7
20ea010t_1.9424_02bo030a_-1.9424.wav,subject126,40,25,96,34,25,14
405o030e_1.4762_20uo010m_-1.4762.wav,subject165,45,-45,163,6,37,9
40cc020i_0.97471_01mo030s_-0.97471.wav,subject12,35,-10,73,214,21,46
208a010y_1.0805_40oo0308_-1.0805.wav,subject155,-65,10,180,-45,40,0
024o0315_0.7538_205c010c_-0.7538.wav,subject155,-55,65,197,129,43,31
01dc020m_0.42589_20ic010b_-0.42589.wav,subject165,15,65,163,73,37,21
023o030r_2.0113_20ta0109_-2.0113.wav,subject17,-45,35,107,90,27,24
20vc010a_1.5047_01mc020p_-1.5047.wav,subject165,-35,-20,191,107,42,27
011c020m_0.036278_20cc0102_-0.036278.wav,subject155,-30,15,146,118,34,29
01ka010w_0.20049_028o0301_-0.20049.wav,subject158,5,-15,214,79,46,22
02ba0111_0.85504_209a0112_-0.85504.wav,subject12,55,0,17,11,11,10
01lc020g_0.01606_404a010q_-0.01606.wav,subject03,-40,10,141,174,33,39
404o030w_1.8055_017o0310_-1.8055.wav,subject03,40,-30,101,214,26,46
02ca010u_1.9186_20pc010n_-1.9186.wav,subject155,25,-30,225,146,48,34
014o030m_2.2162_020c020f_-2.2162.wav,subject158,-15,30,180,225,40,48
20ia010x_0.69599_20mc0101_-0.69599.wav,subject40,15,-30,107,113,27,28
409c0203_2.311_023c021c_-2.311.wav,subject40,-25,25,118,23,29,12
405c0210_1.8636_01do030n_-1.8636.wav,subject17,80,20,203,-11,44,6
40na0105_1.8865_40mo030q_-1.8865.wav,subject17,10,25,34,186,14,41
01pc020n_1.57_205o010p_-1.57.wav,subject40,35,15,34,96,14,25
406c020b_2.3652_01io030j_-2.3652.wav,subject03,-30,40,197,186,43,41
01zo0316_2.2096_20kc010f_-2.2096.wav,subject147,-20,35,158,51,36,17
40bo0315_1.5304_205a010q_-1.5304.wav,subject12,0,-35,118,174,29,39
015c020c_1.6883_20ro0104_-1.6883.wav,subject126,-15,-40,214,135,46,32
01gc020h_0.16659_408o030w_-0.16659.wav,subject155,-30,45,163,51,37,17
40nc0213_1.2076_40hc020u_-1.2076.wav,subject40,65,-80,141,129,33,31
20uo010n_1.1236_01va010d_-1.1236.wav,subject147,10,20,-11,-39,6,1
209c010b_0.81324_205a010l_-0.81324.wav,subject03,-15,-25,56,-6,18,7
20sc0107_1.2114_01pc020h_-1.2114.wav,subject40,5,15,180,56,40,18
019a010e_2.1817_20fa010i_-2.1817.wav,subject40,-10,-40,152,17,35,11
40eo030m_1.0915_02ac0212_-1.0915.wav,subject12,25,45,73,141,21,33
20ga010u_0.8665_01zo030a_-0.8665.wav,subject155,0,20,-17,56,5,18
40lc020e_0.46536_405o031f_-0.46536.wav,subject17,-45,-5,225,219,48,47
02do030g_2.0736_01vc020g_-2.0736.wav,subject40,-35,-45,51,118,17,29
20cc0108_2.0512_01go031b_-2.0512.wav,subject40,-65,-35,118,68,29,20
019c021g_0.12396_01go0312_-0.12396.wav,subject147,55,-25,113,-34,28,2
40ko0301_1.9885_01bc020m_-1.9885.wav,subject03,-15,-20,-11,-17,6,5
40ja010p_0.81501_024a010w_-0.81501.wav,subject165,65,10,90,146,24,34
20ca010n_1.9915_40lo031b_-1.9915.wav,subject155,25,0,180,56,40,18
20aa010y_1.9309_20ra0102_-1.9309.wav,subject165,15,-40,90,-28,24,3
01da010v_0.35959_026a010v_-0.35959.wav,subject40,25,-65,68,158,20,36
40ba010w_2.2789_023c021d_-2.2789.wav,subject165,0,-80,28,51,13,17
20hc010p_1.0421_40hc020r_-1.0421.wav,subject17,-35,-80,39,231,15,49
20ua010n_0.43661_020c0212_-0.43661.wav,subject165,5,-55,231,135,49,32
02ao0315_0.54557_40ma010x_-0.54557.wav,subject03,35,25,6,84,9,23
