utterance_id,subject,azimuth1,azimuth2,azimuth3,elevation1,elevation2,elevation3,elevation_index1,elevation_index2,elevation_index3
408c020t_0.33724_015c021d_-0.33724_208a010p_0.wav,subject147,-45,-5,-25,169,231,51,38,49,17
01ca0107_1.0098_01fa0102_-1.0098_20qo010l_0.wav,subject12,-80,-15,35,208,23,146,45,12,34
40lc020g_0.95377_40gc020k_-0.95377_01xa0107_0.wav,subject158,-30,-55,-35,0,158,11,8,36,10
013o030w_2.1477_01po030j_-2.1477_028o0302_0.wav,subject03,55,-45,5,163,174,180,37,39,40
403a010n_2.1798_40oa010g_-2.1798_024a010w_0.wav,subject158,45,-55,80,84,186,-28,23,41,3
026a010w_0.39902_20do010d_-0.39902_014c020u_0.wav,subject126,-30,-20,40,186,225,96,41,48,25
02da010u_2.1175_01ka010q_-2.1175_019a010q_0.wav,subject155,65,-40,5,-45,-17,84,0,5,23
20hc010p_0.45485_02ca010k_-0.45485_022a0102_0.wav,subject158,45,-25,-10,163,-45,90,37,0,24
208c010i_0.112_20ga010s_-0.112_20ha0109_0.wav,subject165,40,10,-30,28,39,180,13,15,40
01sc020r_1.7632_20jc010j_-1.7632_20do010m_0.wav,subject147,-65,80,-40,113,174,152,28,39,35
208o010a_1.2638_01eo0309_-1.2638_207a0102_0.wav,subject165,-20,-30,-55,-39,68,197,1,20,43
01fo031b_1.2745_020o030v_-1.2745_01go0312_0.wav,subject155,-15,-5,-55,23,39,-11,12,15,6
209a0112_1.635_20do010c_-1.635_40gc0210_0.wav,subject12,10,-25,55,28,-28,203,13,3,44
40ao030y_1.5747_01wo0306_-1.5747_20ba010v_0.wav,subject126,65,80,10,101,39,141,26,15,33
014o0310_2.2893_20na010r_-2.2893_019a010q_0.wav,subject165,-5,-15,65,163,208,-6,37,45,7
20io0108_2.4375_018c020p_-2.4375_408c021d_0.wav,subject03,-45,-5,-10,-28,56,146,3,18,34
01yo030y_0.12345_01nc020j_-0.12345_403c020e_0.wav,subject158,-40,35,20,6,-17,62,9,5,19
015o0307_1.0856_02cc020c_-1.0856_209o0108_0.wav,subject147,-10,-15,65,158,208,79,36,45,22
405a010g_0.40914_015c0207_-0.40914_01ta010i_0.wav,subject155,65,-30,40,219,23,129,47,12,31
01ao0314_0.77063_403c0202_-0.77063_01da010u_0.wav,subject17,-25,25,20,0,169,-6,8,38,7
20do0104_2.0815_01tc0211_-2.0815_01qc020c_0.wav,subject40,20,-25,-10,191,141,135,42,33,32
01fa010p_1.6996_40oc020r_-1.6996_20oo0106_0.wav,subject158,45,-45,-15,-28,124,174,3,30,39
02aa010o_0.15149_40gc0206_-0.15149_40hc020r_0.wav,subject03,-30,-80,5,186,79,135,41,22,32
209a010w_0.94203_40po0305_-0.94203_011o030q_0.wav,subject158,-40,-35,10,90,23,180,24,12,40
40bc0214_0.10135_20ra0109_-0.10135_01na0114_0.wav,subject158,-80,-15,-25,-6,28,180,7,13,40
01yc0217_1.1709_20oc010h_-1.1709_01qo0303_0.wav,subject12,80,0,-30,113,-17,118,28,5,29
209a010t_0.088808_021c0206_-0.088808_20kc0105_0.wav,subject147,25,-30,80,129,208,11,31,45,10
020o030e_0.9493_01da010c_-0.9493_01ta0110_0.wav,subject147,40,10,20,90,118,-6,24,29,7
20do0108_0.31131_01lo0318_-0.31131_01yo030y_0.wav,subject40,-80,-40,65,141,-6,73,33,7,21
01ec0215_0.39203_020c020g_-0.39203_01oc0201_0.wav,subject40,-55,45,-65,-39,0,6,1,8,9
01va0109_1.3482_20nc010a_-1.3482_01mo0310_0.wav,subject147,35,55,40,96,68,28,25,20,13
012c0212_0.79672_20bo010d_-0.79672_20da010z_0.wav,subject155,10,-20,-30,152,90,219,35,24,47
40ic0205_1.038_20lo010a_-1.038_011c021e_0.wav,subject12,80,-30,-10,135,-17,124,32,5,30
40cc020s_0.93149_01la010s_-0.93149_01pc0213_0.wav,subject155,0,-10,-5,146,214,79,34,46,22
40cc021b_2.0191_01wc0218_-2.0191_209o0108_0.wav,subject158,-80,20,-35,225,113,231,48,28,49
