utterance_id,subject,azimuth1,azimuth2,azimuth3,elevation1,elevation2,elevation3,elevation_index1,elevation_index2,elevation_index3
01ca0102_1.2972_209c0105_-1.2972_20mo010h_0.wav,subject15,30,10,-40,56,62,-28,18,19,3
01uo030v_0.73299_01bc020i_-0.73299_012c020s_0.wav,subject162,-40,35,5,118,214,158,29,46,36
01bo030y_1.816_20oo0105_-1.816_01to0302_0.wav,subject50,-10,-65,40,28,-28,191,13,3,42
20jc010p_0.48328_027o0318_-0.48328_01wo0307_0.wav,subject58,5,-45,25,180,158,56,40,36,18
01so0307_0.87779_01ko031b_-0.87779_209c0106_0.wav,subject11,-25,55,-5,-45,84,23,0,23,12
40ko0315_1.5917_01fc0203_-1.5917_01dc020r_0.wav,subject15,-5,0,-15,62,113,118,19,28,29
40jo030k_2.0213_20na0104_-2.0213_02do030m_0.wav,subject58,-55,-80,-25,146,152,0,34,35,8
01xc021d_0.81308_020a0114_-0.81308_20sa010m_0.wav,subject156,40,15,10,219,51,-23,47,17,4
40pc0214_1.3124_20no010e_-1.3124_023c0211_0.wav,subject163,-10,55,-35,203,56,141,44,18,33
025o030q_1.839_021c020c_-1.839_20qc0109_0.wav,subject152,-25,0,-45,34,180,45,14,40,16
01mc020x_2.1567_01ta0112_-2.1567_01ua010a_0.wav,subject44,-65,65,10,107,34,101,27,14,26
403c0215_0.061913_01uc0212_-0.061913_014o030u_0.wav,subject28,15,-15,30,0,191,135,8,42,32
207c0107_2.3797_40lc020r_-2.3797_20ho010c_0.wav,subject60,-45,55,45,73,-6,146,21,7,34
01qo0302_1.7885_012c0206_-1.7885_401o0310_0.wav,subject119,-25,40,-20,197,169,-6,43,38,7
01co031c_0.81819_016o0312_-0.81819_40jc0205_0.wav,subject156,15,20,0,169,146,-11,38,34,6
207o010b_0.9643_01fo0306_-0.9643_20ca010t_0.wav,subject127,-5,35,15,146,-6,186,34,7,41
208c010c_0.77542_023o0301_-0.77542_01xc021c_0.wav,subject48,-30,-40,10,158,135,34,36,32,14
403o030b_1.5063_01go030v_-1.5063_016o030g_0.wav,subject135,10,45,-45,-17,118,23,5,29,12
012c020h_2.3198_20va010y_-2.3198_40nc020u_0.wav,subject137,-80,-20,-35,56,28,79,18,13,22
01gc0202_1.6431_022a010q_-1.6431_20ta0108_0.wav,subject137,-20,-55,35,62,-23,-28,19,4,3
01po0316_1.2733_40jc020j_-1.2733_016o030z_0.wav,subject65,55,0,10,-34,28,-45,2,13,0
404c0213_2.3883_40ja010s_-2.3883_01ua0102_0.wav,subject59,-55,-20,-45,0,-28,23,8,3,12
20ga010f_0.037338_20tc0109_-0.037338_40la010m_0.wav,subject44,-25,80,45,135,219,180,32,47,40
01yc0202_1.7805_40ha0104_-1.7805_208a010n_0.wav,subject11,20,-40,35,79,23,39,22,12,15
403a010g_0.92042_01xa010b_-0.92042_02ca010x_0.wav,subject48,35,-45,-10,180,225,-23,40,48,4
20vc010p_0.43521_01qo030n_-0.43521_40bc0218_0.wav,subject10,35,25,-30,-23,113,84,4,28,23
40ja010h_0.34191_017o0307_-0.34191_40ic0213_0.wav,subject154,-20,65,20,90,34,28,24,14,13
01oo030s_1.3686_025a010f_-1.3686_023c020v_0.wav,subject152,-40,-10,30,197,129,51,43,31,17
01kc0208_1.6643_026a010x_-1.6643_01oa010k_0.wav,subject163,20,-10,35,214,197,68,46,43,20
02ca010j_1.4853_40oa010c_-1.4853_20ka010o_0.wav,subject137,20,15,-35,208,-34,219,45,2,47
20ao010o_0.80476_404o031d_-0.80476_209c0105_0.wav,subject20,-10,-25,-65,208,-34,62,45,2,19
01ea010m_0.93579_01ra010v_-0.93579_02bc0204_0.wav,subject60,55,20,-35,45,180,169,16,40,38
025o0309_0.69251_20ga010b_-0.69251_01ca010v_0.wav,subject44,-40,-25,-10,129,62,96,31,19,25
20ga010z_1.8103_01ta010s_-1.8103_20oc010l_0.wav,subject156,-65,-20,-5,17,191,-17,11,42,5
023o030q_0.28137_01vo030h_-0.28137_029a010q_0.wav,subject163,-55,-45,40,-39,79,39,1,22,15
20so010o_0.15336_40po0319_-0.15336_01na010i_0.wav,subject137,-15,35,-30,-34,146,-6,2,34,7
40dc020x_0.56788_20so010m_-0.56788_40ao0318_0.wav,subject08,-40,10,20,135,118,96,32,29,25
01xo030j_1.3498_024o030o_-1.3498_405a010y_0.wav,subject09,-35,-5,10,124,219,84,30,47,23
40ba010u_1.4137_20no010j_-1.4137_40ao030m_0.wav,subject19,-65,25,-25,124,231,39,30,49,15
20ma0102_1.5247_40bo030v_-1.5247_20sa0106_0.wav,subject163,40,25,65,0,-34,-39,8,2,1
405a0101_2.0557_20ko0104_-2.0557_20qc010b_0.wav,subject44,30,55,-25,11,-17,197,10,5,43
01kc020a_0.82143_407c0212_-0.82143_01ja010o_0.wav,subject154,-25,-20,-15,-11,231,96,6,49,25
20qc010j_1.5553_017a010a_-1.5553_027a010n_0.wav,subject60,-40,-25,-65,6,-23,28,9,4,13
40pc020k_2.4106_01za010w_-2.4106_026o030w_0.wav,subject137,-40,80,-30,0,124,34,8,30,14
022a010c_0.32914_20sa010q_-0.32914_20ha010n_0.wav,subject59,-40,-30,10,79,158,-28,22,36,3
403o0304_0.15921_01nc020u_-0.15921_209c010m_0.wav,subject11,-5,65,-65,-45,56,203,0,18,44
40do030i_1.0247_02cc020e_-1.0247_20ca010f_0.wav,subject59,-25,10,-55,23,191,62,12,42,19
01vc0203_1.5613_40ac020p_-1.5613_20ic010d_0.wav,subject27,-40,5,20,23,203,191,12,44,42
02ba010v_1.6651_404o0318_-1.6651_20go0108_0.wav,subject58,40,10,-5,113,174,-17,28,39,5
204a0107_0.2046_02aa0103_-0.2046_021a010k_0.wav,subject08,-35,35,80,96,169,-28,25,38,3
206c010a_0.25981_40jo030a_-0.25981_01io030w_0.wav,subject19,-80,55,0,56,-11,197,18,6,43
013o0307_0.047527_01ra0106_-0.047527_406a0105_0.wav,subject65,10,20,-5,225,56,11,48,18,10
01ba010r_1.9608_02do030z_-1.9608_01cc0204_0.wav,subject156,-55,65,-65,158,45,113,36,16,28
01qc0209_1.507_408a0103_-1.507_20pa0109_0.wav,subject152,-55,20,80,-39,101,-34,1,26,2
01bo030u_0.051502_019c0205_-0.051502_40ba0106_0.wav,subject09,-55,30,-15,-39,-6,129,1,7,31
20qo010b_1.0315_02da010v_-1.0315_02bc021d_0.wav,subject10,-35,15,25,113,203,141,28,44,33
205a010u_1.3663_20jc010f_-1.3663_20ea010m_0.wav,subject15,40,15,20,203,-17,90,44,5,24
01ro030l_1.9391_025c0219_-1.9391_40eo0313_0.wav,subject09,30,35,15,174,96,169,39,25,38
01tc021f_0.50794_024c020u_-0.50794_01zo0308_0.wav,subject135,-55,25,80,169,-17,-34,38,5,2
20do010f_2.1482_404o030m_-2.1482_40ca010z_0.wav,subject156,-10,40,15,34,0,197,14,8,43
40oc021d_0.14457_20uo010o_-0.14457_02dc0215_0.wav,subject65,-40,-15,-5,39,191,56,15,42,18
011c020u_0.078359_20va010m_-0.078359_409c020f_0.wav,subject153,-15,25,35,11,135,208,10,32,45
20cc010g_0.95398_01tc020z_-0.95398_01ma010w_0.wav,subject10,55,-80,20,231,-28,-17,49,3,5
01qc0218_1.1037_01so031b_-1.1037_01mc0217_0.wav,subject119,40,-65,-30,197,191,174,43,42,39
01pa010t_0.31735_40bo0303_-0.31735_40do030j_0.wav,subject15,-65,25,-10,84,146,90,23,34,24
01ic021f_2.4992_20ho010b_-2.4992_20lo0101_0.wav,subject27,-45,-30,0,79,73,107,22,21,27
014c020g_0.89946_40fo0317_-0.89946_40co0301_0.wav,subject156,25,10,-15,208,135,107,45,32,27
01da010x_0.2372_20do0102_-0.2372_013a0110_0.wav,subject11,10,-40,0,146,152,141,34,35,33
405o030b_0.10383_01wc0213_-0.10383_40po030o_0.wav,subject09,5,-45,-80,-17,11,225,5,10,48
01rc020v_1.5197_01fo030p_-1.5197_20rc0105_0.wav,subject19,15,-35,20,56,-17,107,18,5,27
408a010u_1.3234_027o030w_-1.3234_023c0214_0.wav,subject09,-65,15,45,34,174,169,14,39,38
401o030q_1.8904_40kc0213_-1.8904_01mc020n_0.wav,subject163,-15,40,-30,-28,174,68,3,39,20
20ta0114_1.2291_405a010l_-1.2291_01wo030g_0.wav,subject153,-55,30,45,146,214,203,34,46,44
404c020i_1.1681_20va0114_-1.1681_207c010g_0.wav,subject154,25,20,-40,-28,113,11,3,28,10
20uo010c_2.0084_01ic0202_-2.0084_407c021a_0.wav,subject20,-20,-25,-35,135,96,225,32,25,48
01mo0308_2.0367_01ga0113_-2.0367_20mc010i_0.wav,subject15,-15,25,-65,169,34,197,38,14,43
20ho010m_0.40603_40ac020y_-0.40603_40cc020d_0.wav,subject09,25,-30,-5,6,180,-39,9,40,1
02eo0319_1.005_20mo010j_-1.005_01na010u_0.wav,subject119,-10,-20,30,180,-23,51,40,4,17
01yc020p_1.4848_016a010q_-1.4848_013c020y_0.wav,subject27,80,-20,-25,73,129,214,21,31,46
40oo0310_1.6864_20ho010o_-1.6864_208c010p_0.wav,subject09,80,55,10,6,152,-11,9,35,6
024o031b_1.8809_409o030p_-1.8809_01ya010i_0.wav,subject119,40,15,-40,0,180,141,8,40,33
204o0105_1.1106_018c020r_-1.1106_026o0309_0.wav,subject09,35,5,0,62,113,84,19,28,23
209a010m_0.20901_20lc010n_-0.20901_021c021d_0.wav,subject28,-25,-55,-65,129,197,96,31,43,25
02da010n_0.7828_408c020r_-0.7828_40do0314_0.wav,subject10,10,40,45,118,96,-11,29,25,6
20co010k_1.479_01za010f_-1.479_01fo030y_0.wav,subject09,35,-20,-5,45,68,90,16,20,24
208a010v_1.2651_026c020d_-1.2651_20tc010a_0.wav,subject48,-35,-55,35,6,-39,225,9,1,48
40po030j_2.2914_028o0318_-2.2914_404c020q_0.wav,subject15,20,15,-65,45,28,197,16,13,43
01ba010r_2.2681_02dc020y_-2.2681_01ua0112_0.wav,subject48,-20,40,-45,56,45,180,18,16,40
01oo030e_0.7734_025o030k_-0.7734_01fa010e_0.wav,subject19,35,0,40,174,-34,62,39,2,19
02cc020s_1.0936_40bo0303_-1.0936_40ec020g_0.wav,subject60,-5,40,-65,124,169,62,30,38,19
014c020s_0.071833_208a0114_-0.071833_02do030x_0.wav,subject156,40,0,-25,-6,-34,11,7,2,10
40aa0114_0.1294_206o010b_-0.1294_20da010d_0.wav,subject153,20,-30,-5,-39,107,51,1,27,17
207c010h_0.64226_409c020v_-0.64226_029a010w_0.wav,subject50,-80,-55,30,169,68,96,38,20,25
40ec020m_0.65177_40bo0312_-0.65177_029o0309_0.wav,subject08,-10,-25,-45,56,180,51,18,40,17
01na010i_1.0533_01ta0114_-1.0533_01kc0201_0.wav,subject44,65,45,-30,186,208,23,41,45,12
20ro010o_1.2161_209a010q_-1.2161_20so010l_0.wav,subject137,-15,15,-65,214,96,23,46,25,12
01sa010v_0.40573_01no0301_-0.40573_404a0114_0.wav,subject135,55,35,15,129,174,62,31,39,19
016c0215_0.45812_01ea010e_-0.45812_40ga0114_0.wav,subject65,5,0,30,225,146,174,48,34,39
01qo030n_1.9363_01co0310_-1.9363_401c020p_0.wav,subject119,65,30,45,-17,39,141,5,15,33
40ja0111_2.1267_20gc010j_-2.1267_019o0315_0.wav,subject10,-15,-80,45,-34,68,231,2,20,49
20ga010t_1.973_022c020y_-1.973_01jc020r_0.wav,subject60,-40,-65,10,101,-39,163,26,1,37
20ha0114_1.6692_20ka0109_-1.6692_01cc020j_0.wav,subject10,-25,0,40,135,79,107,32,22,27
207a010p_0.21447_023c0208_-0.21447_40fc0211_0.wav,subject163,-45,-80,40,68,-39,-45,20,1,0
40lo030v_0.2283_20da010x_-0.2283_20mc0108_0.wav,subject44,40,-65,-25,107,-39,28,27,1,13
01uc020v_0.88829_01jo030t_-0.88829_023o030d_0.wav,subject28,80,55,5,-39,158,62,1,36,19
01jc020g_1.9678_40aa010k_-1.9678_02cc021f_0.wav,subject11,-35,-30,-5,-23,118,113,4,29,28
20ta0105_1.4755_40no031b_-1.4755_01no0307_0.wav,subject10,20,30,35,225,203,-34,48,44,2
40pa010a_1.2599_40io0316_-1.2599_40ho030b_0.wav,subject27,-25,45,20,90,-34,169,24,2,38
01ic020x_0.65523_20mc010f_-0.65523_026c0214_0.wav,subject09,-40,30,45,28,96,158,13,25,36
404o030r_0.043432_20qo0103_-0.043432_01qc0216_0.wav,subject58,-10,35,15,197,214,107,43,46,27
404a0111_0.12141_40fc0213_-0.12141_40la010f_0.wav,subject10,15,25,65,107,90,225,27,24,48
026o030v_0.2014_013a010s_-0.2014_02co030y_0.wav,subject09,10,5,30,34,11,225,14,10,48
01lc0211_0.20737_20po0103_-0.20737_20na0110_0.wav,subject162,55,-35,45,214,135,23,46,32,12
01vo031b_0.70603_01wc020a_-0.70603_40ka010o_0.wav,subject19,-30,-20,25,62,73,101,19,21,26
20qc010d_1.3266_401c0205_-1.3266_01vc021c_0.wav,subject154,25,5,65,219,45,135,47,16,32
20ga010v_1.7573_40ec020e_-1.7573_20qa0111_0.wav,subject10,40,55,-10,107,203,124,27,44,30
01jo030k_0.57594_01yo030p_-0.57594_01lo031f_0.wav,subject152,-15,-30,40,62,101,28,19,26,13
017o0319_2.2461_40da0103_-2.2461_01fc021g_0.wav,subject59,45,5,-40,231,28,11,49,13,10
01do0317_1.368_20qa010i_-1.368_40hc0219_0.wav,subject58,-15,-30,25,-17,79,39,5,22,15
20lc010q_1.9307_40gc020b_-1.9307_20ia010f_0.wav,subject08,35,15,-10,34,45,23,14,16,12
01la0103_2.4956_01qo030u_-2.4956_01sa010x_0.wav,subject127,25,-10,65,113,197,45,28,43,16
01go031f_0.16543_01qo030y_-0.16543_01fa010w_0.wav,subject127,-30,0,10,146,203,90,34,44,24
20uo0102_0.27986_40ma010h_-0.27986_01bc020i_0.wav,subject60,15,-25,-65,135,203,0,32,44,8
012a010c_1.2865_20ma010l_-1.2865_01ec020x_0.wav,subject58,10,30,35,101,62,6,26,19,9
20ha0103_1.8945_01da010m_-1.8945_01rc020t_0.wav,subject58,55,-25,-35,174,96,28,39,25,13
40ec0218_0.26464_406o0306_-0.26464_40ko030d_0.wav,subject119,-25,25,30,118,-6,90,29,7,24
20vo0106_2.159_20to0105_-2.159_01xo030q_0.wav,subject19,45,-30,65,34,129,17,14,31,11
20no010f_1.1608_20da010y_-1.1608_401c020t_0.wav,subject162,-20,-15,5,225,-17,45,48,5,16
40ac020o_0.69893_012c0203_-0.69893_20nc010e_0.wav,subject152,5,-55,45,-11,62,180,6,19,40
40bc0202_0.46532_40ko0306_-0.46532_401c020s_0.wav,subject27,35,-65,-40,45,135,225,16,32,48
014o0317_0.67931_20ac010c_-0.67931_205o010c_0.wav,subject152,-30,30,-45,-6,203,135,7,44,32
02dc020b_2.1274_20ca010t_-2.1274_014c020s_0.wav,subject137,-65,-20,20,219,197,62,47,43,19
012a010m_0.60715_01oc021d_-0.60715_20ma0106_0.wav,subject152,-65,20,15,-17,135,214,5,32,46
20qa0101_1.5173_01co030i_-1.5173_028a010k_0.wav,subject127,-65,-80,-10,11,124,158,10,30,36
01xo0302_1.289_020a0114_-1.289_01pa010c_0.wav,subject50,35,-40,-20,197,-17,-45,43,5,0
20do010b_1.7295_016c020o_-1.7295_011a010m_0.wav,subject131,-80,-5,0,-11,141,-28,6,33,3
01uc020f_2.294_40cc0208_-2.294_20vo0102_0.wav,subject163,-80,-30,25,146,186,-45,34,41,0
20oa0101_1.6254_20bc010g_-1.6254_02ba010t_0.wav,subject48,-30,-80,20,225,174,118,48,39,29
02bc0207_2.0183_409c0212_-2.0183_404c020z_0.wav,subject127,80,55,10,180,186,-28,40,41,3
20oa010x_0.93768_408o030e_-0.93768_40ho0302_0.wav,subject11,5,0,-35,90,-34,146,24,2,34
01wo030v_0.3602_40co030x_-0.3602_401a010l_0.wav,subject127,-80,0,-15,113,186,118,28,41,29
020a010n_0.53596_406o030l_-0.53596_204a010g_0.wav,subject48,65,5,0,6,-39,180,9,1,40
01sc020w_1.6827_20ic0107_-1.6827_20ua0108_0.wav,subject153,65,80,45,73,152,174,21,35,39
406a0107_0.61354_40jc0203_-0.61354_40oc020u_0.wav,subject27,-40,-30,-10,-39,214,11,1,46,10
401o0301_2.2432_021o0311_-2.2432_20ao010p_0.wav,subject50,35,10,-55,113,180,34,28,40,14
20la0109_0.94614_01aa0107_-0.94614_207a010f_0.wav,subject10,45,20,-15,90,146,51,24,34,17
20ha0101_0.41235_20na010w_-0.41235_409o030l_0.wav,subject137,-45,5,25,79,6,-45,22,9,0
01po0316_1.2338_01rc0217_-1.2338_40kc020q_0.wav,subject44,30,65,-55,-28,101,174,3,26,39
01xc021c_0.068792_02cc0202_-0.068792_01ja0112_0.wav,subject48,20,25,-45,-28,90,-39,3,24,1
407c020p_1.0177_40oc020h_-1.0177_01oo031a_0.wav,subject20,-20,45,-40,135,158,73,32,36,21
01xo0315_1.1129_404a0112_-1.1129_20bo0102_0.wav,subject10,20,15,-25,141,231,101,33,49,26
406c0212_1.0678_022a0101_-1.0678_20na010s_0.wav,subject15,10,-5,-65,163,-28,180,37,3,40
20ic0108_1.5104_406o030a_-1.5104_405c0213_0.wav,subject19,5,-65,-35,-17,0,-6,5,8,7
023a010f_1.2111_014o0318_-1.2111_025c0209_0.wav,subject60,-10,-25,30,203,-17,6,44,5,9
015a010x_0.90023_40pc0217_-0.90023_020c020m_0.wav,subject19,-35,-45,5,51,-11,17,17,6,11
20ao010l_2.4822_40nc020w_-2.4822_029o030k_0.wav,subject162,-45,40,15,17,152,-11,11,35,6
01uo0316_1.6262_01ca010u_-1.6262_40eo0317_0.wav,subject44,40,-55,-10,56,62,152,18,19,35
01rc020d_0.044072_027o030o_-0.044072_208o0107_0.wav,subject50,-10,-45,65,191,174,45,42,39,16
