utterance_id,subject,azimuth1,azimuth2,azimuth3,elevation1,elevation2,elevation3,elevation_index1,elevation_index2,elevation_index3
22ho010o_1.9805_052a050y_-1.9805_445o030v_0.wav,subject134,40,45,-10,186,73,203,41,21,44
052o020b_2.4977_447o030y_-2.4977_446o0309_0.wav,subject61,-15,-10,-45,17,79,-23,11,22,4
420o030r_0.67574_052o0205_-0.67574_444o030p_0.wav,subject134,10,-65,-40,51,-45,-34,17,0,2
442o0307_1.6311_447c020h_-1.6311_22gc0109_0.wav,subject133,45,-20,25,191,34,-39,42,14,1
440o030p_2.4295_422c020z_-2.4295_053c010x_0.wav,subject124,-20,80,-25,107,-28,118,27,3,29
443o030z_1.4234_441o030m_-1.4234_423a010q_0.wav,subject124,-45,10,-5,152,-45,107,35,0,27
440c020p_0.73342_050o020g_-0.73342_422c0201_0.wav,subject33,-15,40,45,-45,51,135,0,17,32
445o0310_0.28508_22go010t_-0.28508_420a010k_0.wav,subject18,-20,25,-65,28,197,174,13,43,39
423c020r_1.8946_447c0208_-1.8946_421c0201_0.wav,subject148,-15,15,-55,-45,34,129,0,14,31
052o020q_1.8169_442c0212_-1.8169_444c0208_0.wav,subject148,20,30,80,225,-17,219,48,5,47
22go010o_0.35287_443o030z_-0.35287_445c020z_0.wav,subject61,-65,80,-15,6,39,-11,9,15,6
050a0505_1.6633_423c0211_-1.6633_051c0103_0.wav,subject124,25,15,35,219,34,135,47,14,32
443o030c_0.32838_421a0104_-0.32838_420c020i_0.wav,subject134,-45,25,5,-11,79,208,6,22,45
444c020c_2.0277_445c020m_-2.0277_440o030q_0.wav,subject21,65,-10,-55,6,45,203,9,16,44
420c0202_1.2447_443o0301_-1.2447_421o030p_0.wav,subject148,-55,-15,-10,107,146,191,27,34,42
050a050z_0.99568_444c0208_-0.99568_051c010d_0.wav,subject148,35,-40,45,158,-45,0,36,0,8
444c020j_1.9174_050c010a_-1.9174_445o0307_0.wav,subject61,10,-45,45,84,6,174,23,9,39
446c020b_1.4777_052c010y_-1.4777_447o0307_0.wav,subject51,-80,30,-15,113,34,96,28,14,25
446o031a_2.2361_443o030n_-2.2361_442c0215_0.wav,subject134,65,25,-65,107,146,101,27,34,26
446o030y_1.2682_441c0204_-1.2682_444c0208_0.wav,subject21,5,0,-15,90,203,-23,24,44,4
446c020q_1.8805_420a010w_-1.8805_441o030p_0.wav,subject21,-55,-10,20,191,28,-45,42,13,0
443o030a_1.9779_22hc010x_-1.9779_053c010t_0.wav,subject33,-20,20,-25,0,146,-28,8,34,3
441o030m_1.1536_052c010r_-1.1536_444o030l_0.wav,subject21,10,15,-15,-34,129,219,2,31,47
440c0201_1.4171_22ha0112_-1.4171_444o030x_0.wav,subject51,65,30,10,17,6,231,11,9,49
421o030z_1.4004_22hc010a_-1.4004_051c010k_0.wav,subject124,65,55,-15,56,107,174,18,27,39
441o030q_0.58366_052c0108_-0.58366_444o0307_0.wav,subject21,-65,15,0,11,169,191,10,38,42
421o0302_1.4768_422a010a_-1.4768_446o0310_0.wav,subject33,35,-35,40,-11,158,23,6,36,12
051o020m_1.787_421o030w_-1.787_22go0111_0.wav,subject148,-15,-10,-20,113,34,62,28,14,19
22hc0103_1.2408_421c020e_-1.2408_422c0203_0.wav,subject133,-30,-80,55,34,203,-11,14,44,6
422c020o_0.39509_441c0212_-0.39509_053a050l_0.wav,subject21,-25,45,65,225,-34,17,48,2,11
421c020x_1.3956_050a050x_-1.3956_443c0207_0.wav,subject133,-25,35,-80,-17,-11,174,5,6,39
051a050a_0.52192_446o030b_-0.52192_053c0103_0.wav,subject148,-20,35,-35,152,158,225,35,36,48
442o030o_1.7934_443o030l_-1.7934_441c020c_0.wav,subject148,20,25,0,141,208,-39,33,45,1
441o030w_1.4938_422o030v_-1.4938_443o030x_0.wav,subject21,-45,-20,10,219,152,11,47,35,10
441o030u_0.20267_443o0304_-0.20267_422o030p_0.wav,subject124,15,55,20,-39,-11,225,1,6,48
22ha010k_1.8858_22go010r_-1.8858_446o0308_0.wav,subject18,35,20,55,197,225,28,43,48,13
442c020s_1.6526_440o0312_-1.6526_421a010s_0.wav,subject61,20,-10,-40,68,-23,203,20,4,44
423o030f_1.7077_443o030e_-1.7077_442o030y_0.wav,subject134,30,-5,-15,6,203,34,9,44,14
22hc010g_0.75625_420c020p_-0.75625_22gc010z_0.wav,subject51,45,0,65,11,135,84,10,32,23
440o030c_1.0611_423o0305_-1.0611_420c0204_0.wav,subject134,5,-25,-30,6,45,90,9,16,24
420a010k_1.2406_443c020z_-1.2406_22ga010i_0.wav,subject33,25,-80,5,225,219,203,48,47,44
050o020m_0.13936_447c0216_-0.13936_446c0208_0.wav,subject21,-80,-15,0,90,113,169,24,28,38
423o030u_0.19833_445c020e_-0.19833_447o0308_0.wav,subject134,15,45,-30,225,118,158,48,29,36
421a010a_1.0698_442c0214_-1.0698_052a0514_0.wav,subject21,-25,80,-55,129,-34,90,31,2,24
420a010w_2.1805_051c010e_-2.1805_052o0207_0.wav,subject134,-15,80,45,129,-45,68,31,0,20
051a050j_1.9172_423a010h_-1.9172_440o0312_0.wav,subject33,-15,-20,-65,118,23,169,29,12,38
22go010q_0.26096_420o0307_-0.26096_447o030c_0.wav,subject21,35,65,40,34,225,-6,14,48,7
22ga010a_2.1125_422o030o_-2.1125_052c010a_0.wav,subject18,15,5,-35,68,191,-6,20,42,7
052o020q_1.8079_053a0512_-1.8079_421a0104_0.wav,subject21,-35,10,-80,28,79,90,13,22,24
447c0215_0.093905_22gc0113_-0.093905_445o030l_0.wav,subject61,-35,-5,-30,0,107,-28,8,27,3
22go010v_0.00099276_447c020t_-0.00099276_443c020e_0.wav,subject18,10,-25,30,163,146,68,37,34,20
22gc0101_2.327_444c020v_-2.327_22hc010x_0.wav,subject61,25,-40,15,84,101,219,23,26,47
22ho010o_0.48532_051a050c_-0.48532_421c020i_0.wav,subject148,-25,35,25,158,208,28,36,45,13
052a050s_0.88747_440c0207_-0.88747_446o030c_0.wav,subject18,15,30,-80,-17,90,113,5,24,28
445c020j_0.70454_052o020o_-0.70454_442o0308_0.wav,subject21,65,5,15,186,62,-17,41,19,5
443c020e_1.7838_050a0502_-1.7838_440c0210_0.wav,subject133,5,15,-10,174,197,6,39,43,9
442c020r_0.078645_053o020g_-0.078645_445o0302_0.wav,subject21,35,55,-80,0,-6,90,8,7,24
447c020e_0.19991_051a050t_-0.19991_22hc010q_0.wav,subject133,45,-40,-25,28,-17,62,13,5,19
051a050g_0.65119_440c0208_-0.65119_420o030j_0.wav,subject21,-20,-35,65,73,51,96,21,17,25
441c020n_2.0691_444c020z_-2.0691_050a050o_0.wav,subject51,-20,65,-25,-17,107,-28,5,27,3
441o0303_1.9409_051c010q_-1.9409_22hc010c_0.wav,subject33,40,-15,15,174,51,118,39,17,29
421c020d_2.4437_422c0211_-2.4437_22ha010v_0.wav,subject51,80,-25,5,-11,197,158,6,43,36
421o030a_1.4566_051o020f_-1.4566_447c020d_0.wav,subject61,25,-40,40,90,129,0,24,31,8
420a0102_1.2211_051o020d_-1.2211_052o020m_0.wav,subject134,-35,-5,-80,118,-17,-28,29,5,3
440c020f_2.4141_051o020e_-2.4141_447o030d_0.wav,subject51,-5,-20,-15,225,146,180,48,34,40
22ho0114_0.25444_422c020l_-0.25444_443c020m_0.wav,subject61,-35,-15,55,28,208,124,13,45,30
445c020e_2.3883_420c020o_-2.3883_440o0303_0.wav,subject33,10,-35,35,197,174,231,43,39,49
050a050t_0.28636_440c020t_-0.28636_422c020e_0.wav,subject61,-40,-15,-65,-23,158,124,4,36,30
444o030t_0.6297_445c020z_-0.6297_420c020i_0.wav,subject124,15,25,-65,-23,51,174,4,17,39
446o0302_1.596_421a010m_-1.596_441c020g_0.wav,subject18,-55,65,-80,28,101,219,13,26,47
423o030b_1.614_447o0311_-1.614_440c0202_0.wav,subject51,80,-5,-30,174,214,107,39,46,27
443o030e_1.9891_442o0305_-1.9891_22hc010t_0.wav,subject133,80,-20,-30,28,-11,-39,13,6,1
440o030d_2.4758_443c0207_-2.4758_420a010q_0.wav,subject51,40,-10,80,214,-6,158,46,7,36
22ha010r_2.3921_053a050d_-2.3921_22gc010w_0.wav,subject133,15,80,65,-11,186,34,6,41,14
422o030t_1.6568_051c010c_-1.6568_443c020x_0.wav,subject21,-55,-10,-25,118,158,51,29,36,17
446o030i_0.67805_442c0203_-0.67805_447o0311_0.wav,subject51,0,20,10,11,-23,62,10,4,19
446c020x_1.8263_420a010t_-1.8263_050a050e_0.wav,subject51,-40,-25,-35,-6,-45,28,7,0,13
442o030y_2.1559_423c020y_-2.1559_22ho010r_0.wav,subject21,-40,-25,20,-45,11,0,0,10,8
441c020f_1.2507_051c0108_-1.2507_050o0213_0.wav,subject148,0,45,15,23,118,180,12,29,40
22ga010b_1.1467_443o030c_-1.1467_440c020i_0.wav,subject124,20,-30,55,-45,214,96,0,46,25
053o020i_1.1132_422a010i_-1.1132_22hc0106_0.wav,subject21,80,65,-45,-34,118,129,2,29,31
446o030g_0.49956_423o030k_-0.49956_052o020r_0.wav,subject18,-80,5,-10,6,28,39,9,13,15
422c020l_0.75961_423c020q_-0.75961_22ho0103_0.wav,subject18,20,55,80,107,-39,-6,27,1,7
447c0217_0.67804_22hc010n_-0.67804_050a050n_0.wav,subject124,-55,-35,-10,23,84,180,12,23,40
440c0210_0.65826_22gc010p_-0.65826_447c020l_0.wav,subject18,45,-40,-80,68,231,208,20,49,45
