output_filename,s1_path,s2_path,s3_path
408c020t_0.33724_015c021d_-0.33724_208a010p_0.wav,wsj0/si_tr_s/408/408c020t.wav,wsj0/si_tr_s/015/015c021d.wav,wsj0/si_tr_s/208/208a010p.wav
01ca0107_1.0098_01fa0102_-1.0098_20qo010l_0.wav,wsj0/si_tr_s/01c/01ca0107.wav,wsj0/si_tr_s/01f/01fa0102.wav,wsj0/si_tr_s/20q/20qo010l.wav
40lc020g_0.95377_40gc020k_-0.95377_01xa0107_0.wav,wsj0/si_tr_s/40l/40lc020g.wav,wsj0/si_tr_s/40g/40gc020k.wav,wsj0/si_tr_s/01x/01xa0107.wav
013o030w_2.1477_01po030j_-2.1477_028o0302_0.wav,wsj0/si_tr_s/013/013o030w.wav,wsj0/si_tr_s/01p/01po030j.wav,wsj0/si_tr_s/028/028o0302.wav
403a010n_2.1798_40oa010g_-2.1798_024a010w_0.wav,wsj0/si_tr_s/403/403a010n.wav,wsj0/si_tr_s/40o/40oa010g.wav,wsj0/si_tr_s/024/024a010w.wav
026a010w_0.39902_20do010d_-0.39902_014c020u_0.wav,wsj0/si_tr_s/026/026a010w.wav,wsj0/si_tr_s/20d/20do010d.wav,wsj0/si_tr_s/014/014c020u.wav
02da010u_2.1175_01ka010q_-2.1175_019a010q_0.wav,wsj0/si_tr_s/02d/02da010u.wav,wsj0/si_tr_s/01k/01ka010q.wav,wsj0/si_tr_s/019/019a010q.wav
20hc010p_0.45485_02ca010k_-0.45485_022a0102_0.wav,wsj0/si_tr_s/20h/20hc010p.wav,wsj0/si_tr_s/02c/02ca010k.wav,wsj0/si_tr_s/022/022a0102.wav
208c010i_0.112_20ga010s_-0.112_20ha0109_0.wav,wsj0/si_tr_s/208/208c010i.wav,wsj0/si_tr_s/20g/20ga010s.wav,wsj0/si_tr_s/20h/20ha0109.wav
01sc020r_1.7632_20jc010j_-1.7632_20do010m_0.wav,wsj0/si_tr_s/01s/01sc020r.wav,wsj0/si_tr_s/20j/20jc010j.wav,wsj0/si_tr_s/20d/20do010m.wav
208o010a_1.2638_01eo0309_-1.2638_207a0102_0.wav,wsj0/si_tr_s/208/208o010a.wav,wsj0/si_tr_s/01e/01eo0309.wav,wsj0/si_tr_s/207/207a0102.wav
01fo031b_1.2745_020o030v_-1.2745_01go0312_0.wav,wsj0/si_tr_s/01f/01fo031b.wav,wsj0/si_tr_s/020/020o030v.wav,wsj0/si_tr_s/01g/01go0312.wav
209a0112_1.635_20do010c_-1.635_40gc0210_0.wav,wsj0/si_tr_s/209/209a0112.wav,wsj0/si_tr_s/20d/20do010c.wav,wsj0/si_tr_s/40g/40gc0210.wav
40ao030y_1.5747_01wo0306_-1.5747_20ba010v_0.wav,wsj0/si_tr_s/40a/40ao030y.wav,wsj0/si_tr_s/01w/01wo0306.wav,wsj0/si_tr_s/20b/20ba010v.wav
014o0310_2.2893_20na010r_-2.2893_019a010q_0.wav,wsj0/si_tr_s/014/014o0310.wav,wsj0/si_tr_s/20n/20na010r.wav,wsj0/si_tr_s/019/019a010q.wav
20io0108_2.4375_018c020p_-2.4375_408c021d_0.wav,wsj0/si_tr_s/20i/20io0108.wav,wsj0/si_tr_s/018/018c020p.wav,wsj0/si_tr_s/408/408c021d.wav
01yo030y_0.12345_01nc020j_-0.12345_403c020e_0.wav,wsj0/si_tr_s/01y/01yo030y.wav,wsj0/si_tr_s/01n/01nc020j.wav,wsj0/si_tr_s/403/403c020e.wav
015o0307_1.0856_02cc020c_-1.0856_209o0108_0.wav,wsj0/si_tr_s/015/015o0307.wav,wsj0/si_tr_s/02c/02cc020c.wav,wsj0/si_tr_s/209/209o0108.wav
405a010g_0.40914_015c0207_-0.40914_01ta010i_0.wav,wsj0/si_tr_s/405/405a010g.wav,wsj0/si_tr_s/015/015c0207.wav,wsj0/si_tr_s/01t/01ta010i.wav
01ao0314_0.77063_403c0202_-0.77063_01da010u_0.wav,wsj0/si_tr_s/01a/01ao0314.wav,wsj0/si_tr_s/403/403c0202.wav,wsj0/si_tr_s/01d/01da010u.wav
20do0104_2.0815_01tc0211_-2.0815_01qc020c_0.wav,wsj0/si_tr_s/20d/20do0104.wav,wsj0/si_tr_s/01t/01tc0211.wav,wsj0/si_tr_s/01q/01qc020c.wav
01fa010p_1.6996_40oc020r_-1.6996_20oo0106_0.wav,wsj0/si_tr_s/01f/01fa010p.wav,wsj0/si_tr_s/40o/40oc020r.wav,wsj0/si_tr_s/20o/20oo0106.wav
02aa010o_0.15149_40gc0206_-0.15149_40hc020r_0.wav,wsj0/si_tr_s/02a/02aa010o.wav,wsj0/si_tr_s/40g/40gc0206.wav,wsj0/si_tr_s/40h/40hc020r.wav
209a010w_0.94203_40po0305_-0.94203_011o030q_0.wav,wsj0/si_tr_s/209/209a010w.wav,wsj0/si_tr_s/40p/40po0305.wav,wsj0/si_tr_s/011/011o030q.wav
40bc0214_0.10135_20ra0109_-0.10135_01na0114_0.wav,wsj0/si_tr_s/40b/40bc0214.wav,wsj0/si_tr_s/20r/20ra0109.wav,wsj0/si_tr_s/01n/01na0114.wav
01yc0217_1.1709_20oc010h_-1.1709_01qo0303_0.wav,wsj0/si_tr_s/01y/01yc0217.wav,wsj0/si_tr_s/20o/20oc010h.wav,wsj0/si_tr_s/01q/01qo0303.wav
209a010t_0.088808_021c0206_-0.088808_20kc0105_0.wav,wsj0/si_tr_s/209/209a010t.wav,wsj0/si_tr_s/021/021c0206.wav,wsj0/si_tr_s/20k/20kc0105.wav
020o030e_0.9493_01da010c_-0.9493_01ta0110_0.wav,wsj0/si_tr_s/020/020o030e.wav,wsj0/si_tr_s/01d/01da010c.wav,wsj0/si_tr_s/01t/01ta0110.wav
20do0108_0.31131_01lo0318_-0.31131_01yo030y_0.wav,wsj0/si_tr_s/20d/20do0108.wav,wsj0/si_tr_s/01l/01lo0318.wav,wsj0/si_tr_s/01y/01yo030y.wav
01ec0215_0.39203_020c020g_-0.39203_01oc0201_0.wav,wsj0/si_tr_s/01e/01ec0215.wav,wsj0/si_tr_s/020/020c020g.wav,wsj0/si_tr_s/01o/01oc0201.wav
01va0109_1.3482_20nc010a_-1.3482_01mo0310_0.wav,wsj0/si_tr_s/01v/01va0109.wav,wsj0/si_tr_s/20n/20nc010a.wav,wsj0/si_tr_s/01m/01mo0310.wav
012c0212_0.79672_20bo010d_-0.79672_20da010z_0.wav,wsj0/si_tr_s/012/012c0212.wav,wsj0/si_tr_s/20b/20bo010d.wav,wsj0/si_tr_s/20d/20da010z.wav
40ic0205_1.038_20lo010a_-1.038_011c021e_0.wav,wsj0/si_tr_s/40i/40ic0205.wav,wsj0/si_tr_s/20l/20lo010a.wav,wsj0/si_tr_s/011/011c021e.wav
40cc020s_0.93149_01la010s_-0.93149_01pc0213_0.wav,wsj0/si_tr_s/40c/40cc020s.wav,wsj0/si_tr_s/01l/01la010s.wav,wsj0/si_tr_s/01p/01pc0213.wav
40cc021b_2.0191_01wc0218_-2.0191_209o0108_0.wav,wsj0/si_tr_s/40c/40cc021b.wav,wsj0/si_tr_s/01w/01wc0218.wav,wsj0/si_tr_s/209/209o0108.wav
01cc0202_0.57475_01da010v_-0.57475_012c021d_0.wav,wsj0/si_tr_s/01c/01cc0202.wav,wsj0/si_tr_s/01d/01da010v.wav,wsj0/si_tr_s/012/012c021d.wav
01ka010w_0.51352_20ea010c_-0.51352_016a0113_0.wav,wsj0/si_tr_s/01k/01ka010w.wav,wsj0/si_tr_s/20e/20ea010c.wav,wsj0/si_tr_s/016/016a0113.wav
20ia0102_0.98549_017a0108_-0.98549_013o0305_0.wav,wsj0/si_tr_s/20i/20ia0102.wav,wsj0/si_tr_s/017/017a0108.wav,wsj0/si_tr_s/013/013o0305.wav
40kc021g_0.75658_20ro0104_-0.75658_406a010j_0.wav,wsj0/si_tr_s/40k/40kc021g.wav,wsj0/si_tr_s/20r/20ro0104.wav,wsj0/si_tr_s/406/406a010j.wav
01oc020x_2.0002_40go031b_-2.0002_20go010j_0.wav,wsj0/si_tr_s/01o/01oc020x.wav,wsj0/si_tr_s/40g/40go031b.wav,wsj0/si_tr_s/20g/20go010j.wav
409o0317_1.8802_026o030k_-1.8802_01fa0112_0.wav,wsj0/si_tr_s/409/409o0317.wav,wsj0/si_tr_s/026/026o030k.wav,wsj0/si_tr_s/01f/01fa0112.wav
205a010q_1.296_406o0314_-1.296_40lc020d_0.wav,wsj0/si_tr_s/205/205a010q.wav,wsj0/si_tr_s/406/406o0314.wav,wsj0/si_tr_s/40l/40lc020d.wav
20mc010n_1.7649_013o0310_-1.7649_01qc020c_0.wav,wsj0/si_tr_s/20m/20mc010n.wav,wsj0/si_tr_s/013/013o0310.wav,wsj0/si_tr_s/01q/01qc020c.wav
20aa010f_2.3389_20ga010m_-2.3389_01cc0216_0.wav,wsj0/si_tr_s/20a/20aa010f.wav,wsj0/si_tr_s/20g/20ga010m.wav,wsj0/si_tr_s/01c/01cc0216.wav
